Filename,Start,End,SDS,Query,Cost,Duration,Label
AG_Aalap1_Bag.csv,108.13,108.74,13,4,1.11,0.6099999999999994,Like
AG_Aalap1_Bag.csv,108.16,108.85,13,5,2.66,0.6899999999999977,Like
AG_Aalap1_Bag.csv,123.26,123.85,14,1,3.8,0.5899999999999892,Like
AG_Aalap1_Bag.csv,123.28,123.83,14,2,2.5,0.5499999999999972,Like
AG_Aalap1_Bag.csv,123.28,123.82,14,3,0.83,0.539999999999992,Like
AG_Aalap1_Bag.csv,123.27,123.83,14,4,1.39,0.5600000000000023,Like
AG_Aalap1_Bag.csv,150.14,150.75,16,1,3.91,0.6100000000000136,Like
AG_Aalap1_Bag.csv,150.17,150.71,16,2,2.33,0.5400000000000205,Like
AG_Aalap1_Bag.csv,153.93,154.57,16,3,15.07,0.6399999999999864,Like
AG_Aalap1_Bag.csv,153.91,154.6,16,4,15.72,0.6899999999999977,Like
AG_Aalap1_Bag.csv,153.93,154.63,16,5,15.85,0.6999999999999886,Like
AG_Aalap1_Bag.csv,162.04,162.63,18,0,2.18,0.5900000000000034,Like
AG_Aalap1_Bag.csv,160.94,162.61,18,1,3.16,1.670000000000016,Like
AG_Aalap1_Bag.csv,162.06,162.6,18,2,4.94,0.539999999999992,Like
AG_Aalap1_Bag.csv,163.22,164.08,18,3,17.44,0.8600000000000136,Like
AG_Aalap1_Bag.csv,163.19,164.09,18,4,18.11,0.9000000000000057,Like
AG_Aalap1_Bag.csv,163.22,164.11,18,5,18.4,0.8900000000000148,Like
AG_Aalap1_Bag.csv,175.67,176.18,19,0,3.42,0.5100000000000193,Like
AG_Aalap1_Bag.csv,176.98,177.84,19,1,21.29,0.8600000000000136,Like
AG_Aalap1_Bag.csv,175.68,176.22,19,2,6.37,0.539999999999992,Like
AG_Aalap1_Bag.csv,176.89,177.69,19,3,18.37,0.8000000000000114,Like
AG_Aalap1_Bag.csv,176.88,177.59,19,4,17.88,0.710000000000008,Like
AG_Aalap1_Bag.csv,175.69,176.2,19,5,5.12,0.5099999999999909,Like
AG_Aalap1_Bag.csv,178.78,181.18,20,1,29.51,2.4000000000000057,Unlike
AG_Aalap1_Bag.csv,178.85,181.18,20,2,27.64,2.3300000000000125,Unlike
AG_Aalap1_Bag.csv,180.03,180.87,20,4,28.06,0.8400000000000034,Unlike
AG_Aalap1_Bag.csv,178.86,180.03,20,5,28.4,1.1699999999999875,Unlike
AG_Aalap1_Bag.csv,178.78,181.18,21,1,29.51,2.4000000000000057,Unlike
AG_Aalap1_Bag.csv,178.85,181.18,21,2,27.64,2.3300000000000125,Unlike
AG_Aalap1_Bag.csv,180.03,180.87,21,4,28.06,0.8400000000000034,Unlike
AG_Aalap1_Bag.csv,178.86,180.03,21,5,28.4,1.1699999999999875,Unlike
AG_Aalap2_Bag.csv,4.96,5.75,0,0,16.35,0.79,Unlike
AG_Aalap2_Bag.csv,4.96,5.75,0,1,16.71,0.79,Unlike
AG_Aalap2_Bag.csv,4.96,5.75,0,2,15.15,0.79,Unlike
AG_Aalap2_Bag.csv,4.14,5.75,0,3,13.92,1.6100000000000003,Unlike
AG_Aalap2_Bag.csv,4.96,5.75,0,4,13.94,0.79,Unlike
AG_Aalap2_Bag.csv,4.88,5.75,0,5,14.68,0.8700000000000001,Unlike
AG_Aalap2_Bag.csv,9.59,12.87,1,0,2.1,3.2799999999999994,Like
AG_Aalap2_Bag.csv,9.4,12.87,1,1,3.44,3.469999999999999,Like
AG_Aalap2_Bag.csv,9.4,11.3,1,2,2.24,1.9000000000000004,Like
AG_Aalap2_Bag.csv,9.4,10.11,1,3,1.07,0.7099999999999991,Like
AG_Aalap2_Bag.csv,9.4,10.25,1,4,1.49,0.8499999999999996,Like
AG_Aalap2_Bag.csv,9.38,10.56,1,5,2.33,1.1799999999999997,Like
AG_Aalap2_Bag.csv,18.72,21.36,2,0,1.74,2.6400000000000006,Like
AG_Aalap2_Bag.csv,18.73,21.36,2,1,4.0,2.629999999999999,Like
AG_Aalap2_Bag.csv,19.29,21.72,2,2,2.63,2.4299999999999997,Like
AG_Aalap2_Bag.csv,18.81,20.33,2,3,1.33,1.5199999999999996,Like
AG_Aalap2_Bag.csv,18.69,20.5,2,4,1.19,1.8099999999999987,Like
AG_Aalap2_Bag.csv,19.27,20.69,2,5,2.46,1.4200000000000017,Like
AG_Aalap2_Bag.csv,23.88,24.4,3,0,3.04,0.5199999999999996,Like
AG_Aalap2_Bag.csv,23.89,25.22,3,1,3.21,1.3299999999999983,Like
AG_Aalap2_Bag.csv,26.28,27.25,3,2,21.92,0.9699999999999989,Like
AG_Aalap2_Bag.csv,26.3,26.98,3,3,18.75,0.6799999999999997,Like
AG_Aalap2_Bag.csv,23.86,24.4,3,4,1.28,0.5399999999999991,Like
AG_Aalap2_Bag.csv,26.3,27.01,3,5,19.68,0.7100000000000009,Like
AG_Aalap2_Bag.csv,68.55,72.09,9,0,16.78,3.5400000000000063,Like
AG_Aalap2_Bag.csv,68.55,72.09,9,1,17.11,3.5400000000000063,Like
AG_Aalap2_Bag.csv,69.22,72.09,9,2,15.59,2.8700000000000045,Like
AG_Aalap2_Bag.csv,68.6,72.09,9,3,14.4,3.490000000000009,Like
AG_Aalap2_Bag.csv,68.55,72.09,9,4,14.35,3.5400000000000063,Like
AG_Aalap2_Bag.csv,68.52,72.09,9,5,15.13,3.5700000000000074,Like
AG_Aalap2_Bag.csv,74.98,75.76,10,0,16.36,0.7800000000000011,Unlike
AG_Aalap2_Bag.csv,74.94,75.76,10,1,16.72,0.8200000000000074,Unlike
AG_Aalap2_Bag.csv,74.94,75.76,10,2,15.14,0.8200000000000074,Unlike
AG_Aalap2_Bag.csv,74.96,75.76,10,3,13.96,0.8000000000000114,Unlike
AG_Aalap2_Bag.csv,74.94,75.76,10,4,14.12,0.8200000000000074,Unlike
AG_Aalap2_Bag.csv,74.97,75.76,10,5,14.81,0.7900000000000063,Unlike
AG_Aalap2_Bag.csv,82.57,84.86,11,0,1.91,2.2900000000000063,Unlike
AG_Aalap2_Bag.csv,82.4,84.86,11,1,3.86,2.4599999999999937,Unlike
AG_Aalap2_Bag.csv,82.4,84.92,11,2,2.11,2.519999999999996,Unlike
AG_Aalap2_Bag.csv,82.4,83.08,11,3,1.2,0.6799999999999926,Unlike
AG_Aalap2_Bag.csv,82.4,83.18,11,4,1.72,0.7800000000000011,Unlike
AG_Aalap2_Bag.csv,82.6,83.8,11,5,2.71,1.2000000000000028,Unlike
AG_Aalap2_Bag.csv,91.57,93.08,12,0,16.77,1.5100000000000051,Unlike
AG_Aalap2_Bag.csv,91.57,93.08,12,1,17.12,1.5100000000000051,Unlike
AG_Aalap2_Bag.csv,91.58,93.08,12,2,15.57,1.5,Unlike
AG_Aalap2_Bag.csv,91.59,93.08,12,3,14.41,1.4899999999999949,Unlike
AG_Aalap2_Bag.csv,91.57,93.08,12,4,14.39,1.5100000000000051,Unlike
AG_Aalap2_Bag.csv,91.52,93.08,12,5,15.13,1.5600000000000023,Unlike
AG_Aalap2_Bag.csv,97.28,98.25,13,0,1.3,0.9699999999999989,Like
